,,MAE,MAE,MAE,MALE,MALE,MALE,MASE,MASE,MASE
,,Germany,Russia,US,Germany,Russia,US,Germany,Russia,US
1,Boost,0.35714285714285715,0.5,1827.7142857142858,2.7282716227037408e-06,1.820414766967661e-05,0.0028564177348758602,0.0001430023452384619,0.00013579008941255117,0.0627279622218677
1,GDGM,6003.166666666667,3728.4166666666665,24317.916666666668,0.0455445034891347,0.13646347562890795,0.03784801075658261,2.318883075230303,0.8899913921560118,0.7783205066655029
1,RNN,2013.8671875,1153.328125,15213.447916666666,0.013923771827541884,0.050674149551567994,0.020028424652502153,0.12405625327255367,0.048187855143310775,0.08032803962515037
1,SEIIHURD,4040.7958630059948,4625.198057634933,35100.732512078015,0.02932325807058895,0.10561557762502169,0.050832502700638015,0.12445855370086534,0.09662400889184702,0.09266712738448667
1,SEIR,1651.7606794140447,5221.401982222924,3041.776002028375,0.011176203261008866,0.1296991163509512,0.003608476760547112,0.05087506327699032,0.10907917569614196,0.008030392076804858
1,SIRDp,4144.928571428572,29483.5,62991.357142857145,0.029565994277165893,9.048805822719372,0.10008142809303855,1.6596566183685413,8.007134202389906,2.1618912223018003
1,SIRFp,4144.928571428572,29483.5,62991.142857142855,0.029565994277165893,9.048805822719372,0.10008094400441744,1.6596566183685413,8.007134202389906,2.1618838679213614
1,SIRb,91884.5,29483.5,487832.21428571426,0.5150703101177792,9.048805822719372,0.5519166988925165,36.79115717497767,8.007134202389906,16.742617239195752
1,SIRp,4130.642857142857,29483.5,69144.85714285714,0.02959470122989168,9.048805822719372,0.11045800499457933,1.6539365245590025,8.007134202389906,2.3730820624398214
5,Boost,19329.285714285714,5436.285714285715,67673.5,0.12553886365996764,0.12295493843976898,0.08360717845681286,9.072160960564455,1.1285625315104244,2.2841062508437964
5,GDGM,5074.333333333333,5406.083333333333,36347.25,0.03540864981514668,0.11291753901861452,0.047786653374207004,2.113424961821463,0.9936490829392728,1.1164625411532114
5,RNN,4450.7421875,2781.7578125,9371.9375,0.028531015492527543,0.04705701529109937,0.010654987089084307,0.3213764306087082,0.08884424753676881,0.048664659729362035
5,SEIIHURD,4739.778709137805,21317.00546601198,61981.58490570367,0.031028715989133412,0.29783223801568887,0.07783019326567124,0.17112350022159742,0.3404130477956593,0.16092258078559696
5,SEIR,4770.427955568506,23774.170569946004,3568.0774180347216,0.03324757444438914,0.338871066254426,0.005739744343873044,0.17223005110724623,0.3796517233826672,0.009263787420513656
5,SIRDp,7039.571428571428,46307.07142857143,147075.14285714287,0.045397926519793526,9.542599094579758,0.21283502481153418,3.3040085411014717,9.613259586583231,4.964059094678779
5,SIRFp,7039.571428571428,46307.07142857143,147074.7142857143,0.045397926519793526,9.542599094579758,0.2128342430555505,3.3040085411014717,9.613259586583231,4.964044629597485
5,SIRb,270591.4285714286,46307.07142857143,2118095.214285714,1.0536800879030936,9.542599094579758,1.3228629780373005,127.00153698565136,9.613259586583231,71.48964541264054
5,SIRp,7068.0,46307.07142857143,149815.35714285713,0.045567587214880016,9.542599094579758,0.2171097579265984,3.317351433316485,9.613259586583231,5.056546413624178
30,Boost,516250.4285714286,484828.21428571426,2510298.285714286,1.3638578441678562,0.6898536440283725,0.9842029343759113,795.8325117311243,48.59683708480887,111.29561525651808
30,RNN,12923.979166666666,123189.10416666667,346950.25,0.07619071234494576,0.6461324660315425,0.28384646222753235,3.0650964464998616,1.8996739144402894,2.366500351274478
30,SEIIHURD,13263.490962250115,2678109.9294739044,1181934.824444821,0.07091418086755223,2.4235567719530158,0.5599727342886435,1.572808130232434,20.649292027247807,4.030908144946153
30,SEIR,24988.76394896512,3519246.8081642273,212145.9260886924,0.13440026841754102,2.66378369314275,0.14154414940048937,2.963211662393587,27.134791689457785,0.7235092186997129
30,SIRDp,58225.642857142855,255558.14285714287,647753.1428571428,0.2846272950297439,11.339741865966735,0.6138430950029049,89.75849130118073,25.615913158894774,28.718533163526306
30,SIRFp,58225.71428571428,255558.14285714287,647752.7857142857,0.28462764039979926,11.339741865966735,0.6138425790059265,89.75860141281699,25.615913158894774,28.71851732937853
30,SIRb,14350396.285714285,255558.14285714287,221338062.5,4.371688177557449,11.339741865966735,5.048557810861679,22122.038623773948,25.615913158894774,9813.15885279894
30,SIRp,59475.42857142857,255558.14285714287,624027.8571428572,0.2899022872109341,11.339741865966735,0.5831517683168137,91.68511460080296,25.615913158894774,27.666658059386336
1,CUSc60q2.5,,,516231.8,,,0.5681341284100656,,,5.451478023036937
1,CUSc60q25,,,978218.4,,,0.9078760848422451,,,10.330119355937304
1,CUSc60q50,,,1369944.4,,,1.1265091573068446,,,14.466799196373648
1,CUSc60q75,,,1924246.0,,,1.37189626651123,,,20.320299485457372
1,CUSc60q97.5,,,4044748.4,,,1.9679024238139995,,,42.713093248641044
